Bulan,ACEH,SUMATERA UTARA,SUMATERA BARAT,RIAU,JAMBI,SUMATERA SELATAN,BENGKULU,LAMPUNG,KEP. BANGKA BELITUNG,KEP. RIAU,DKI JAKARTA,JAWA BARAT,JAWA TENGAH,DI YOGYAKARTA,JAWA TIMUR,BANTEN,BALI,NUSA TENGGARA BARAT,NUSA TENGGARA TIMUR,KALIMANTAN BARAT,KALIMANTAN TENGAH,KALIMANTAN SELATAN,KALIMANTAN TIMUR,KALIMANTAN UTARA,SULAWESI UTARA,SULAWESI TENGAH,SULAWESI SELATAN,SULAWESI TENGGARA,GORONTALO,SULAWESI BARAT,MALUKU,MALUKU UTARA,PAPUA BARAT,PAPUA
Juli (2022),748573,2216932,1176922,795698,364514,834754,203448,1043996,146618,149456,4623932,11576829,7996200,2197650,16068542,3451864,1288444,351214,309202,315667,257012,529472,573460,32132,436556,646673,2732814,1231851,140784,442861,48932,157797,39706,86039
Agustus (2022),531072,1678953,905311,662795,285681,659155,158883,772720,117743,123680,4521438,9433636,6551001,1703347,13235419,3312882,1152090,288102,252218,258920,223441,422558,521964,29288,352431,532060,2136650,1097809,113456,373165,46979,135693,40948,84147
September (2022),500673,1664991,891560,677309,280278,668784,159439,833337,120832,123914,5423854,9923223,7168810,1798014,12461460,3701537,1125727,286740,249094,239591,217319,399050,507079,27807,360004,515189,1803376,1044426,109350,318147,52568,132686,39159,78700
Oktober (2022),513056,1785747,949081,692329,289153,665454,154957,834108,126635,132432,5504491,11162878,7918510,2078100,15437648,4003986,1172441,276772,245510,260901,230067,449173,533691,30041,365860,543272,1922182,1056378,100365,311722,52357,119219,40627,81068
November (2022),471520,1525633,877671,640199,262087,603787,133058,762778,115001,131230,4757430,9886282,6403951,1679978,14709379,3234134,1118730,324132,290876,235452,209125,416227,514833,29600,322748,555548,1834305,1136194,92496,310736,43671,115762,36457,78388
Desember (2022),639922,2283325,1307815,857727,351987,804851,185142,1025144,144054,185232,5606163,12097392,8165328,2496730,16432381,3639318,1688997,579154,497011,345666,282224,532388,638297,39514,401895,575043,2287771,1028565,117518,345542,75278,133388,56395,111840
Januari (2021),396953,1424081,775782,507998,247256,541878,139180,707904,65347,60617,2617796,6431349,10965887,1439708,12801904,2505336,735234,222304,236790,165093,153097,321253,165649,37548,252298,140380,743342,209867,90759,124447,78120,68567,56475,124573
Februari (2021),421243,1375473,735587,482533,225630,511557,131185,647312,72930,64867,3090473,6772915,10644269,1429155,12582632,2674036,627391,195816,162261,194460,151390,313139,154006,26992,284672,139294,724546,189183,92165,77882,47482,47555,49044,56995
Maret (2021),445804,1415803,793796,511576,239867,553847,137722,746409,87341,75329,3558538,8019390,10992293,1684846,12511219,2951840,739544,244434,222653,188046,167356,351197,194579,27340,316834,177093,847765,208125,103269,81571,48787,54200,41249,69170
April (2021),378402,1369304,712644,451372,226476,516146,124531,706069,84283,70355,3486742,7535164,10783115,1637275,11833348,2864905,913033,237622,173424,171318,155904,328515,189339,22191,319841,154719,765199,187883,89741,70523,71019,51844,35284,86207
Mei (2021),599117,1674445,1025889,501143,280176,608248,179928,975559,93531,50771,3671451,9062176,12250918,1754976,13144701,3435666,873863,313718,180257,177093,160403,389760,211241,20610,372363,187679,937945,237647,117211,88146,50091,57892,31565,56054
